g,s,lat,lon
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aep0,38.9143,-75.30472
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af0g,39.94117,-74.06955
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af1g,40.20905,-74.0031
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af20,40.20932,-74.0029
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af2g,40.20965,-74.00273
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af30,40.2099,-74.00262
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af3g,40.21015,-74.00253
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af40,40.24015,-73.99358
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af4g,40.2405,-73.99338
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af50,40.24075,-73.99335
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af5g,40.58277,-73.81463
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af60,40.58287,-73.81418
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af6g,40.58298,-73.81343
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af70,40.5832,-73.81255
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3ae9g,36.8494,-75.9723
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af7g,40.63015,-73.34022
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aeh0,38.39562,-75.06022
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3afo0,41.66452,-70.17735
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aea0,36.91959,-76.05424
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aeag,36.95551,-76.25128
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aeb0,37.16763,-75.98798
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aebg,37.16797,-75.98788
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aec0,37.16808,-75.98785
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aecg,37.1683,-75.98778
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aed0,37.16862,-75.9877
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aedg,37.88777,-75.34348
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aee0,37.88802,-75.34332
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aeeg,37.88818,-75.3432
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aef0,37.8884,-75.34308
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aefg,37.8886,-75.34297
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aeg0,37.935,-75.41988
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aegg,38.39523,-75.06035
